match_id,competition,season,date,kickoff_time,kickoff_datetime,stage_raw,stage,stage_order,matchday,group,leg,is_qualifier,neutral,home_team_id,away_team_id,home_team,away_team,home_team_raw,away_team_raw,home_country_code,away_country_code,home_goals,away_goals,home_goals_final,away_goals_final,home_goals_ht,away_goals_ht,home_penalty,away_penalty,decided_by,result,total_goals,goal_diff,btts,home_elo_pre,away_elo_pre,elo_diff_pre,home_matches_before,away_matches_before,score_raw,source_file,source_line,source_commit
UCL-2011-12-M-0023,UEFA Champions League,2011-12,2011-09-27,20:45,2011-09-27T20:45:00,Group D,group_stage,3,,D,not_applicable,0,0,ucl-olympique-lyonnais,ucl-dinamo-zagreb,Olympique Lyonnais,Dinamo Zagreb,Olympique Lyonnais,Dinamo Zagreb,FRA,CRO,2,0,2,0,2,0,,,Normal Time,H,2,2,0,1501.85,1488.15,78.7,1,1,2-0 (2-0),2011-12/cl.txt,77,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0024,UEFA Champions League,2011-12,2011-09-27,20:45,2011-09-27T20:45:00,Group D,group_stage,3,,D,not_applicable,0,0,ucl-real-madrid,ucl-afc-ajax,Real Madrid,AFC Ajax,Real Madrid,AFC Ajax,ESP,NED,3,0,3,0,2,0,,,Normal Time,H,3,3,0,1511.85,1498.15,78.7,1,1,3-0 (2-0),2011-12/cl.txt,78,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0025,UEFA Champions League,2011-12,2011-09-28,18:00,2011-09-28T18:00:00,Group G,group_stage,3,,G,not_applicable,0,0,ucl-zenit-st-petersburg,ucl-fc-porto,Zenit St. Petersburg,FC Porto,Zenit St. Petersburg,FC Porto,RUS,POR,3,1,3,1,1,1,,,Normal Time,H,4,2,1,1491.85,1508.15,48.7,1,1,3-1 (1-1),2011-12/cl.txt,140,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0026,UEFA Champions League,2011-12,2011-09-28,20:45,2011-09-28T20:45:00,Group E,group_stage,3,,E,not_applicable,0,0,ucl-bayer-leverkusen,ucl-krc-genk,Bayer Leverkusen,KRC Genk,Bayer Leverkusen,KRC Genk,GER,BEL,2,0,2,0,1,0,,,Normal Time,H,2,2,0,1491.85,1498.15,58.7,1,1,2-0 (1-0),2011-12/cl.txt,98,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0027,UEFA Champions League,2011-12,2011-09-28,20:45,2011-09-28T20:45:00,Group E,group_stage,3,,E,not_applicable,0,0,ucl-valencia-cf,ucl-chelsea-fc,Valencia CF,Chelsea FC,Valencia CF,Chelsea FC,ESP,ENG,1,1,1,1,0,0,,,Normal Time,D,2,0,1,1501.85,1508.15,58.7,1,1,1-1 (0-0),2011-12/cl.txt,99,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0028,UEFA Champions League,2011-12,2011-09-28,20:45,2011-09-28T20:45:00,Group F,group_stage,3,,F,not_applicable,0,0,ucl-arsenal-fc,ucl-olympiacos,Arsenal FC,Olympiacos,Arsenal FC,Olympiakos Piraeus,ENG,GRE,2,1,2,1,2,1,,,Normal Time,H,3,1,1,1501.85,1488.15,78.7,1,1,2-1 (2-1),2011-12/cl.txt,119,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0029,UEFA Champions League,2011-12,2011-09-28,20:45,2011-09-28T20:45:00,Group F,group_stage,3,,F,not_applicable,0,0,ucl-olympique-marseille,ucl-borussia-dortmund,Olympique Marseille,Borussia Dortmund,Olympique Marseille,Borussia Dortmund,FRA,GER,3,0,3,0,1,0,,,Normal Time,H,3,3,0,1511.85,1498.15,78.7,1,1,3-0 (1-0),2011-12/cl.txt,120,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0030,UEFA Champions League,2011-12,2011-09-28,20:45,2011-09-28T20:45:00,Group G,group_stage,3,,G,not_applicable,0,0,ucl-shakhtar-donetsk,ucl-apoel-nikosia,Shakhtar Donetsk,APOEL Nikosia,Shakhtar Donetsk,APOEL Nikosia,UKR,CYP,1,1,1,1,0,0,,,Normal Time,D,2,0,1,1491.85,1508.15,48.7,1,1,1-1 (0-0),2011-12/cl.txt,141,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0031,UEFA Champions League,2011-12,2011-09-28,20:45,2011-09-28T20:45:00,Group H,group_stage,3,,H,not_applicable,0,0,ucl-ac-milan,ucl-viktoria-plzen,AC Milan,Viktoria Plzeň,AC Milan,Viktoria Plzeň,ITA,CZE,2,0,2,0,0,0,,,Normal Time,H,2,2,0,1501.85,1498.15,68.7,1,1,2-0 (0-0),2011-12/cl.txt,161,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0032,UEFA Champions League,2011-12,2011-09-28,20:45,2011-09-28T20:45:00,Group H,group_stage,3,,H,not_applicable,0,0,ucl-bate-borisov,ucl-fc-barcelona,BATE Borisov,FC Barcelona,BATE Borisov,FC Barcelona,BLR,ESP,0,5,0,5,0,3,,,Normal Time,A,5,-5,0,1501.85,1498.15,68.7,1,1,0-5 (0-3),2011-12/cl.txt,162,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0033,UEFA Champions League,2011-12,2011-10-18,18:00,2011-10-18T18:00:00,Group B,group_stage,3,,B,not_applicable,0,0,ucl-cska-moskva,ucl-trabzonspor,CSKA Moskva,Trabzonspor,CSKA Moskva,Trabzonspor,RUS,TUR,3,0,3,0,1,0,,,Normal Time,H,3,3,0,1489.62,1509.62,45.0,2,2,3-0 (1-0),2011-12/cl.txt,38,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
