raw_name,canonical_name,team_id,association_code
Sevilla FC,Sevilla FC,ucl-sevilla-fc,ESP
FK Shakhtar Donetsk,Shakhtar Donetsk,ucl-shakhtar-donetsk,UKR
Shakhtar Donetsk,Shakhtar Donetsk,ucl-shakhtar-donetsk,UKR
Shamrock Rovers,Shamrock Rovers,ucl-shamrock-rovers,IRL
Shelbourne FC,Shelbourne FC,ucl-shelbourne-fc,IRL
SK Slavia Praha,Slavia Praha,ucl-slavia-praha,CZE
Slavia Praha,Slavia Praha,ucl-slavia-praha,CZE
Slovan Bratislava,Slovan Bratislava,ucl-slovan-bratislava,SVK
ŠK Slovan Bratislava,Slovan Bratislava,ucl-slovan-bratislava,SVK
Spartak Moskva,Spartak Moskva,ucl-spartak-moskva,RUS
Sporting CP,Sporting CP,ucl-sporting-cp,POR
Sporting Clube de Portugal,Sporting CP,ucl-sporting-cp,POR
Stade Brestois 29,Stade Brestois 29,ucl-stade-brestois-29,FRA
Stade Rennais,Stade Rennais,ucl-stade-rennais,FRA
SK Sturm Graz,Sturm Graz,ucl-sturm-graz,AUT
Sturm Graz,Sturm Graz,ucl-sturm-graz,AUT
The New Saints,The New Saints,ucl-the-new-saints,WAL
Tottenham Hotspur,Tottenham Hotspur,ucl-tottenham-hotspur,ENG
Tottenham Hotspur FC,Tottenham Hotspur,ucl-tottenham-hotspur,ENG
Trabzonspor,Trabzonspor,ucl-trabzonspor,TUR
UE Santa Coloma,UE Santa Coloma,ucl-ue-santa-coloma,AND
Royale Union Saint-Gilloise,Union Saint-Gilloise,ucl-union-saint-gilloise,BEL
Union Saint-Gilloise,Union Saint-Gilloise,ucl-union-saint-gilloise,BEL
Valencia CF,Valencia CF,ucl-valencia-cf,ESP
VfB Stuttgart,VfB Stuttgart,ucl-vfb-stuttgart,GER
VfL Wolfsburg,VfL Wolfsburg,ucl-vfl-wolfsburg,GER
Viktoria Plzeň,Viktoria Plzeň,ucl-viktoria-plzen,CZE
Villarreal CF,Villarreal CF,ucl-villarreal-cf,ESP
Víkingur,Víkingur,ucl-vikingur,FRO
Víkingur Reykjavík,Víkingur Reykjavík,ucl-vikingur-reykjavik,ISL
Zenit St. Petersburg,Zenit St. Petersburg,ucl-zenit-st-petersburg,RUS
Zrinjski Mostar,Zrinjski Mostar,ucl-zrinjski-mostar,BIH
İstanbul Başakşehir,İstanbul Başakşehir,ucl-istanbul-basaksehir,TUR
